S.no,W75,width75,ratio75,W100,width100,ratio100,W150,width150,ratio150,Actual (in cm)
1,552.0081521,960,0.575008492,458.0043668,960,0.477087882,311.0064308,725,0.428974387,47
2,637.0070643,960,0.663549025,429.004662,909,0.471952323,314.0063694,730,0.430145712,43
3,554.0081227,960,0.577091794,433.0046189,960,0.451046478,283.007067,671,0.421769101,42
4,608.0205589,960,0.633354749,494.0040486,960,0.514587551,323.0061919,960,0.336464783,48
5,719.0027816,960,0.748961231,532.0150374,959,0.554760206,354.0056497,817,0.433299449,48
6,692.0028902,960,0.720836344,463.0172783,960,0.482309665,350.0058823,683,0.512453708,49
7,551.0145189,959,0.57457197,651.0276492,960,0.678153801,331.0241683,708,0.46754826,49
8,618.0072815,960,0.643757585,451.0044346,960,0.469796286,286.0157338,680,0.420611373,43
9,448.0044643,959,0.46715794,562.0035587,960,0.585420374,288.0069444,653,0.441051982,42
10,605.007438,960,0.630216081,450.0099999,960,0.468760417,296.0067567,683,0.43339203,44
11,494.0364359,960,0.514621287,384.0117186,960,0.400012207,280.0071428,702,0.398870574,42
12,605.007438,959,0.630873241,474.0042194,960,0.493754395,304.0065789,649,0.46842308,46
13,630.019841,960,0.656270668,468.0170937,831,0.563197465,325.4023731,638,0.510035068,46
14,613.0073409,960,0.638549313,487.0092402,959,0.507830282,301.0066444,732,0.411211263,48
15,587.0034071,960,0.611461882,445.0044944,929,0.479014526,303.0066006,725,0.417940139,46
16,636.0070754,960,0.66250737,513.0155943,959,0.534948482,321.0062305,671,0.478399747,46
17,539.0148421,959,0.562059272,432.0185181,862,0.501181576,286.0069929,680,0.420598519,45
18,585.0034188,960,0.609378561,462.004329,922,0.501089294,314.0063694,693,0.453111644,46
19,579.0034542,906,0.63907666,441.0045351,869,0.507485081,311.0063897,710,0.438037169,45
20,668.002994,959,0.696562038,509.0039293,959,0.530765307,345.0130432,708,0.487306558,47
21,719.0062587,959,0.749745838,521.0038388,858,0.607230581,375.0053333,751,0.499341323,53
22,2150.568529,3000,0.716856176,1782.808178,3000,0.594269393,1290.055813,3000,0.430018604,47
23,2466.640833,3000,0.822213611,1828.750666,3000,0.609583555,1386.942681,3000,0.462314227,43
24,2208.049139,3000,0.73601638,1751.810492,3000,0.583936831,1251.789519,3000,0.417263173,48
25,2545.270123,3000,0.848423374,1927.079656,3000,0.642359885,1158.010794,3000,0.386003598,48
26,2676.633146,3000,0.892211049,2085.03717,3000,0.69501239,1497.94793,3000,0.499315977,49
27,2225.089886,3000,0.741696629,2225.089886,3000,0.741696629,1359.001472,3000,0.453000491,49
28,2297.125378,3000,0.765708459,1784.114907,3000,0.594704969,1228.902763,3000,0.409634254,43
29,2398.854935,3000,0.799618312,1869.070892,3000,0.623023631,1325.401071,3000,0.441800357,42
30,2572.152795,3000,0.857384265,2050.680375,3000,0.683560125,1396.083808,3000,0.465361269,44
31,1874.257186,3000,0.624752395,1507.514842,3000,0.502504947,1130.826689,3000,0.37694223,42
32,2303.158266,3000,0.767719422,1882.288501,3000,0.6274295,1287.808992,3000,0.429269664,46
33,2339.196871,3000,0.77973229,1861.535925,3000,0.620511975,1307.039785,3000,0.435679928,48
34,2182.529267,3000,0.727509756,1750.523636,3000,0.583507879,1212.594739,3000,0.404198246,46
35,2662.510469,3000,0.88750349,2246.990877,3000,0.748996959,1437.334338,3000,0.479111446,46
36,2349.740837,3000,0.783246946,1751.368037,3000,0.583789346,1236.134701,3000,0.4120449,45
37,2425.869123,3000,0.808623041,1923.1625,3000,0.641054167,1364.319977,3000,0.454773326,45
38,2567.486904,3000,0.855828968,2082.486254,3000,0.694162085,1456.008585,3000,0.485336195,47
39,2980.997484,3000,0.993665828,2237.043808,3000,0.745681269,1735.719159,3000,0.578573053,53
